pathway_namespace	pathway_identifier	pathway_name	snps
reactome	R-HSA-2172127	DAP12 interactions	rs2523608,rs12344583,rs9468925,rs10484554,rs3780792,rs290986,rs2247056,rs13437082,rs9264942,rs9471576,rs4713693
reactome	R-HSA-2424491	DAP12 signaling	rs12344583,rs3780792,rs290986,rs4713693
reactome	R-HSA-180024	DARPP-32 events	rs1823068,rs702543,rs1588265,rs13224682,rs10493389,rs10052657,rs7798500,rs2659546
reactome	R-HSA-418885	DCC mediated attractive signaling	rs7504990,rs768048
reactome	R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	rs2070600,rs4815617,rs11618202,rs1990760,rs8016947,rs610604,rs2327832,rs16912145,rs2230926,rs16886165,rs7665090,rs889312,rs10133111
reactome	R-HSA-3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production	rs7665090
reactome	R-HSA-73893	DNA Damage Bypass	rs690705,rs9894429,rs6900341,rs240993
reactome	R-HSA-5696394	DNA Damage Recognition in GG-NER	rs7603514,rs3219090
reactome	R-HSA-73942	DNA Damage Reversal	rs6499640,rs8050136,rs9941349
reactome	R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	rs1801516,rs2069408,rs7742369,rs1321311,rs7979673,rs2244012,rs12424086,rs8102137,rs1776897,rs8756
reactome	R-HSA-5693606	DNA Double Strand Break Response	rs1801516,rs6435862,rs2218488,rs1547014,rs365132,rs2244012,rs738722,rs1667394,rs12913832,rs2240466,rs3768716,rs9402515
reactome	R-HSA-5693532	DNA Double-Strand Break Repair	rs11661542,rs1547014,rs1956529,rs690705,rs3136202,rs420259,rs738722,rs1667394,rs16859517,rs3768716,rs2240466,rs9402515,rs999737,rs1801516,rs2069408,rs730566,rs4809324,rs6435862,rs3219090,rs911263,rs2218488,rs365132,rs2244012,rs6010620,rs2718812,rs12913832,rs2113334
reactome	R-HSA-73894	DNA Repair	rs8050136,rs11661542,rs1956529,rs738722,rs9941349,rs16859517,rs240993,rs999737,rs4809324,rs7603514,rs3219090,rs2218488,rs2244012,rs6010620,rs3768716,rs12913832,rs1923775,rs6499640,rs6900341,rs6761,rs1547014,rs690705,rs3136202,rs420259,rs1667394,rs9894429,rs2240466,rs9402515,rs1395479,rs4950322,rs1801516,rs2069408,rs730566,rs6435862,rs911263,rs365132,rs2718812,rs2113334,rs16966142
reactome	R-HSA-69306	DNA Replication	rs2069408,rs16991615,rs837763,rs236114,rs690705,rs8102137,rs16912145,rs2277339,rs9357155,rs831571
reactome	R-HSA-69002	DNA Replication Pre-Initiation	rs2069408,rs9357155,rs2277339,rs16991615,rs837763,rs831571,rs236114
reactome	R-HSA-5334118	DNA methylation	
reactome	R-HSA-68952	DNA replication initiation	rs2277339
reactome	R-HSA-69190	DNA strand elongation	rs690705,rs16991615,rs2277339,rs236114
reactome	R-HSA-376172	DSCAM interactions	rs7504990,rs768048
reactome	R-HSA-3769402	Deactivation of the beta-catenin transactivating complex	rs956237,rs1504749,rs7903146,rs7901695,rs2517388,rs9298506,rs10958409,rs9466056
reactome	R-HSA-429947	Deadenylation of mRNA	
reactome	R-HSA-429914	Deadenylation-dependent mRNA decay	rs16887244,rs429608,rs11062040,rs8060686
reactome	R-HSA-73887	Death Receptor Signalling	rs40457,rs968451,rs13278062,rs610604,rs2327832,rs3761847,rs2234978,rs1354034,rs12344583,rs1800693,rs2062583,rs8016947,rs3780792,rs11842874,rs9652490,rs477895,rs2230926,rs6063312,rs2413583,rs7665090
reactome	R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	rs9357155,rs831571
reactome	R-HSA-5621480	Dectin-2 family	rs290986,rs1109501,rs4072037
reactome	R-HSA-5682113	Defective ABCA1 causes Tangier disease	rs12686004,rs3905000,rs2515629,rs2575876,rs4149268
reactome	R-HSA-5682294	Defective ABCA12 causes autosomal recessive congenital ichthyosis type 4B	
reactome	R-HSA-5688399	Defective ABCA3 causes pulmonary surfactant metabolism dysfunction 3 (SMDP3)	
reactome	R-HSA-5683678	Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3)	
reactome	R-HSA-5678520	Defective ABCB11 causes progressive familial intrahepatic cholestasis 2 and benign recurrent intrahepatic cholestasis 2	rs552976,rs16856332
reactome	R-HSA-5678771	Defective ABCB4 causes progressive familial intrahepatic cholestasis 3, intrahepatic cholestasis of pregnancy 3 and gallbladder disease 1	
reactome	R-HSA-5683371	Defective ABCB6 causes isolated colobomatous microphthalmia 7 (MCOPCB7)	
reactome	R-HSA-5679001	Defective ABCC2 causes Dubin-Johnson syndrome	
reactome	R-HSA-5690338	Defective ABCC6 causes pseudoxanthoma elasticum (PXE)	
reactome	R-HSA-5683177	Defective ABCC8 can cause hypoglycemias and hyperglycemias	rs5219,rs5215
reactome	R-HSA-5678420	Defective ABCC9 causes dilated cardiomyopathy 10, familial atrial fibrillation 12 and hypertrichotic osteochondrodysplasia	rs5219,rs5215
reactome	R-HSA-5684045	Defective ABCD1 causes adrenoleukodystrophy (ALD)	
reactome	R-HSA-5683329	Defective ABCD4 causes methylmalonic aciduria and homocystinuria, cblj type (MAHCJ)	
reactome	R-HSA-5679096	Defective ABCG5 causes sitosterolemia	rs6544713,rs4299376,rs6756629
reactome	R-HSA-5679090	Defective ABCG8 causes gallbladder disease 4 and sitosterolemia	rs6544713,rs4299376,rs6756629
reactome	R-HSA-5579031	Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)	
reactome	R-HSA-5579007	Defective ACY1 causes encephalopathy	
reactome	R-HSA-5578997	Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD)	
reactome	R-HSA-4549380	Defective ALG1 causes ALG1-CDG (CDG-1k)	
reactome	R-HSA-4551295	Defective ALG11 causes ALG11-CDG (CDG-1p)	
reactome	R-HSA-4720489	Defective ALG12 causes ALG12-CDG (CDG-1g)	
reactome	R-HSA-5633231	Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)	
reactome	R-HSA-4549349	Defective ALG2 causes ALG2-CDG (CDG-1i)	
reactome	R-HSA-4720475	Defective ALG3 causes ALG3-CDG (CDG-1d)	
reactome	R-HSA-4724289	Defective ALG6 causes ALG6-CDG (CDG-1c)	
reactome	R-HSA-4724325	Defective ALG8 causes ALG8-CDG (CDG-1h)	
reactome	R-HSA-4720454	Defective ALG9 causes ALG9-CDG (CDG-1l)	
reactome	R-HSA-3359462	Defective AMN causes hereditary megaloblastic anemia 1	rs6602175,rs10508517,rs11254363,rs1801239
reactome	R-HSA-5619099	Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)	
reactome	R-HSA-9036092	Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI)	
reactome	R-HSA-4420332	Defective B3GALT6 causes EDSP2 and SEMDJL1	rs1064395,rs1574192,rs2352028,rs16946160,rs1008953,rs9523762,rs8002779,rs310501
reactome	R-HSA-5083635	Defective B3GALTL causes Peters-plus syndrome (PpS)	rs12899618,rs1816002,rs1427593,rs275380,rs6795735,rs4842838,rs6868223,rs17556665,rs7249094,rs4533267,rs7183263
reactome	R-HSA-3560801	Defective B3GAT3 causes JDSSDHD	rs1064395,rs1574192,rs2352028,rs16946160,rs1008953,rs9523762,rs8002779,rs310501
reactome	R-HSA-3656244	Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)	
reactome	R-HSA-4793953	Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)	
reactome	R-HSA-3560783	Defective B4GALT7 causes EDS, progeroid type	rs1064395,rs1574192,rs2352028,rs16946160,rs1008953,rs9523762,rs8002779,rs310501
reactome	R-HSA-3371598	Defective BTD causes biotidinase deficiency	rs7651039
reactome	R-HSA-9605310	Defective Base Excision Repair Associated with MUTYH	
reactome	R-HSA-9616334	Defective Base Excision Repair Associated with NEIL1	
reactome	R-HSA-9629232	Defective Base Excision Repair Associated with NEIL3	rs1395479
reactome	R-HSA-9616333	Defective Base Excision Repair Associated with NTHL1	
reactome	R-HSA-5083632	Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)	rs1109501,rs4072037,rs10259085
reactome	R-HSA-3359485	Defective CD320 causes methylmalonic aciduria	
reactome	R-HSA-5678895	Defective CFTR causes cystic fibrosis	rs9357155,rs831571
reactome	R-HSA-3595174	Defective CHST14 causes EDS, musculocontractural type	rs1064395,rs310501
reactome	R-HSA-3595172	Defective CHST3 causes SEDCJD	rs1064395,rs310501
reactome	R-HSA-3656225	Defective CHST6 causes MCDC1	
reactome	R-HSA-3595177	Defective CHSY1 causes TPBS	rs1064395,rs310501
reactome	R-HSA-5619060	Defective CP causes aceruloplasminemia (ACERULOP)	
reactome	R-HSA-5688890	Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4)	rs2075726
reactome	R-HSA-5688849	Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5)	rs2075726
reactome	R-HSA-3359463	Defective CUBN causes hereditary megaloblastic anemia 1	rs6602175,rs10508517,rs11254363,rs1801239
reactome	R-HSA-5579026	Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)	
reactome	R-HSA-5579017	Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)	
reactome	R-HSA-5579009	Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)	
reactome	R-HSA-5579028	Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)	rs17115100
reactome	R-HSA-5579030	Defective CYP19A1 causes Aromatase excess syndrome (AEXS)	rs2899472,rs2305707
reactome	R-HSA-5579000	Defective CYP1B1 causes Glaucoma	
reactome	R-HSA-5579021	Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)	
reactome	R-HSA-5579010	Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)	rs2248359
reactome	R-HSA-5579015	Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)	
reactome	R-HSA-5579004	Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)	
reactome	R-HSA-5578996	Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)	
reactome	R-HSA-5579014	Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)	
reactome	R-HSA-5579027	Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)	
reactome	R-HSA-5579011	Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)	
reactome	R-HSA-5579005	Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)	
reactome	R-HSA-5579013	Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)	
reactome	R-HSA-4755609	Defective DHDDS causes retinitis pigmentosa 59	
reactome	R-HSA-4755583	Defective DOLK causes DOLK-CDG (CDG-1m)	
reactome	R-HSA-4549356	Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2	
reactome	R-HSA-4717374	Defective DPM1 causes DPM1-CDG (CDG-1e)	
reactome	R-HSA-4719377	Defective DPM2 causes DPM2-CDG (CDG-1u)	
reactome	R-HSA-4719360	Defective DPM3 causes DPM3-CDG (CDG-1o)	
reactome	R-HSA-3656253	Defective EXT1 causes exostoses 1, TRPS2 and CHDS	rs8002779,rs1574192,rs2352028,rs16946160,rs1008953,rs9523762
reactome	R-HSA-3656237	Defective EXT2 causes exostoses 2	rs8002779,rs1574192,rs2352028,rs16946160,rs1008953,rs9523762
reactome	R-HSA-5579019	Defective FMO3 causes Trimethylaminuria (TMAU)	
reactome	R-HSA-5609977	Defective GALE can cause Epimerase-deficiency galactosemia (EDG)	
reactome	R-HSA-5609976	Defective GALK1 can cause Galactosemia II (GALCT2)	
reactome	R-HSA-5083636	Defective GALNT12 causes colorectal cancer 1 (CRCS1)	rs1109501,rs4072037
reactome	R-HSA-5083625	Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)	rs1109501,rs4072037,rs6710518
reactome	R-HSA-5609978	Defective GALT can cause Galactosemia	
reactome	R-HSA-5619073	Defective GCK causes maturity-onset diabetes of the young 2 (MODY2)	rs3757840,rs4607517,rs730497
reactome	R-HSA-5578999	Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)	
reactome	R-HSA-4085023	Defective GFPT1 causes CMSTA1	
reactome	R-HSA-9035968	Defective GGT1 causes Glutathionuria (GLUTH)	rs5751901
reactome	R-HSA-5579022	Defective GGT1 causes Glutathionuria (GLUTH)	rs5751901
reactome	R-HSA-3359457	Defective GIF causes intrinsic factor deficiency	
reactome	R-HSA-4085011	Defective GNE causes sialuria, Nonaka myopathy and inclusion body myopathy 2	
reactome	R-HSA-5579006	Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)	
reactome	R-HSA-3656234	Defective HEXA causes GM2G1	
reactome	R-HSA-3656248	Defective HEXB causes GM2G2	
reactome	R-HSA-5619056	Defective HK1 causes hexokinase deficiency (HK deficiency)	rs7072268
reactome	R-HSA-3371599	Defective HLCS causes multiple carboxylase deficiency	rs7122539,rs10513789
reactome	R-HSA-5083627	Defective LARGE causes MDDGA6 and MDDGB6	
reactome	R-HSA-5083630	Defective LFNG causes SCDO3	rs443198,rs9296015,rs3131296,rs404860
reactome	R-HSA-3359458	Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF	
reactome	R-HSA-4793950	Defective MAN1B1 causes MRT15	
reactome	R-HSA-5579012	Defective MAOA causes Brunner syndrome (BRUNS)	rs3027409
reactome	R-HSA-5579024	Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)	
reactome	R-HSA-4793952	Defective MGAT2 causes MGAT2-CDG (CDG-2a)	
reactome	R-HSA-3359475	Defective MMAA causes methylmalonic aciduria type cblA	
reactome	R-HSA-3359471	Defective MMAB causes methylmalonic aciduria type cblB	rs7134594
reactome	R-HSA-3359474	Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC	
reactome	R-HSA-3359473	Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD	
reactome	R-HSA-4793954	Defective MOGS causes MOGS-CDG (CDG-2b)	
reactome	R-HSA-4687000	Defective MPDU1 causes MPDU1-CDG (CDG-1f)	rs4227
reactome	R-HSA-4043916	Defective MPI causes MPI-CDG (CDG-1b)	
reactome	R-HSA-3359469	Defective MTR causes methylmalonic aciduria and homocystinuria type cblG	
reactome	R-HSA-3359467	Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE	
reactome	R-HSA-3359478	Defective MUT causes methylmalonic aciduria mut type	
reactome	R-HSA-9608287	Defective MUTYH substrate binding	
reactome	R-HSA-9608290	Defective MUTYH substrate processing	
reactome	R-HSA-5545483	Defective Mismatch Repair Associated With MLH1	
reactome	R-HSA-5632928	Defective Mismatch Repair Associated With MSH2	
reactome	R-HSA-5632927	Defective Mismatch Repair Associated With MSH3	
reactome	R-HSA-5632968	Defective Mismatch Repair Associated With MSH6	
reactome	R-HSA-5632987	Defective Mismatch Repair Associated With PMS2	
reactome	R-HSA-4341670	Defective NEU1 causes sialidosis	
reactome	R-HSA-9630222	Defective NTHL1 substrate binding	
reactome	R-HSA-9630221	Defective NTHL1 substrate processing	
reactome	R-HSA-5578998	Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD)	
reactome	R-HSA-3560796	Defective PAPSS2 causes SEMD-PA	
reactome	R-HSA-5609974	Defective PGM1 causes PGM1-CDG (CDG1t)	
reactome	R-HSA-4043911	Defective PMM2 causes PMM2-CDG (CDG-1a)	
reactome	R-HSA-5083628	Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3	
reactome	R-HSA-5083633	Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1	
reactome	R-HSA-5083629	Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2	
reactome	R-HSA-4570571	Defective RFT1 causes RFT1-CDG (CDG-1n)	
reactome	R-HSA-5619042	Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN)	
reactome	R-HSA-5687868	Defective SFTPA2 causes idiopathic pulmonary fibrosis (IPF)	
reactome	R-HSA-5619048	Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)	
reactome	R-HSA-5619104	Defective SLC12A1 causes Bartter syndrome 1 (BS1)	
reactome	R-HSA-5619087	Defective SLC12A3 causes Gitelman syndrome (GS)	
reactome	R-HSA-5619039	Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)	
reactome	R-HSA-5619070	Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)	
reactome	R-HSA-5619035	Defective SLC17A5 causes Salla disease (SD) and ISSD	
reactome	R-HSA-5619076	Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)	
reactome	R-HSA-5619067	Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)	
reactome	R-HSA-5619062	Defective SLC1A3 causes episodic ataxia 6 (EA6)	
reactome	R-HSA-5619111	Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)	
reactome	R-HSA-5619071	Defective SLC22A12 causes renal hypouricemia 1 (RHUC1)	rs505802
reactome	R-HSA-5619066	Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)	rs16928809
reactome	R-HSA-5619053	Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)	rs2073643
reactome	R-HSA-5619077	Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)	
reactome	R-HSA-5619055	Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)	rs12896399
reactome	R-HSA-5619036	Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)	
reactome	R-HSA-3560792	Defective SLC26A2 causes chondrodysplasias	
reactome	R-HSA-5619085	Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)	rs2108225
reactome	R-HSA-5619046	Defective SLC26A4 causes Pendred syndrome (PDS)	
reactome	R-HSA-5619108	Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)	
reactome	R-HSA-5619063	Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)	
reactome	R-HSA-5619043	Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1)	
reactome	R-HSA-5619068	Defective SLC2A10 causes arterial tortuosity syndrome (ATS)	
reactome	R-HSA-5619098	Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS)	
reactome	R-HSA-5619047	Defective SLC2A9 causes hypouricemia renal 2 (RHUC2)	rs6834555,rs16890979,rs13129697,rs3775948,rs737267,rs733175
reactome	R-HSA-5619061	Defective SLC33A1 causes spastic paraplegia 42 (SPG42)	
reactome	R-HSA-5619040	Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1)	rs6420094
reactome	R-HSA-5687583	Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)	
reactome	R-HSA-5619045	Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)	
reactome	R-HSA-5619097	Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH)	
reactome	R-HSA-5619037	Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)	
reactome	R-HSA-5663020	Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)	
reactome	R-HSA-5619072	Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M)	
reactome	R-HSA-5619083	Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)	
reactome	R-HSA-5619078	Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C)	
reactome	R-HSA-5579020	Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)	
reactome	R-HSA-5619041	Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG)	
reactome	R-HSA-5619088	Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)	
reactome	R-HSA-5619113	Defective SLC3A1 causes cystinuria (CSNU)	rs8101881
reactome	R-HSA-5655799	Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)	
reactome	R-HSA-5619049	Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages)	
reactome	R-HSA-5619050	Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)	
reactome	R-HSA-5619054	Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)	
reactome	R-HSA-5656364	Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM)	
reactome	R-HSA-5658208	Defective SLC5A2 causes renal glucosuria (GLYS1)	
reactome	R-HSA-5619096	Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1)	
reactome	R-HSA-5658471	Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)	
reactome	R-HSA-5619114	Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)	
reactome	R-HSA-5659729	Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria	
reactome	R-HSA-5619079	Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria	
reactome	R-HSA-5659735	Defective SLC6A19 causes Hartnup disorder (HND)	
reactome	R-HSA-5619044	Defective SLC6A19 causes Hartnup disorder (HND)	
reactome	R-HSA-5619109	Defective SLC6A2 causes orthostatic intolerance (OI)	
reactome	R-HSA-5619081	Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)	
reactome	R-HSA-5660724	Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)	
reactome	R-HSA-5619089	Defective SLC6A5 causes hyperekplexia 3 (HKPX3)	
reactome	R-HSA-5660862	Defective SLC7A7 causes lysinuric protein intolerance (LPI)	
reactome	R-HSA-5660883	Defective SLC7A9 causes cystinuria (CSNU)	rs8101881
reactome	R-HSA-5619092	Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)	
reactome	R-HSA-5619052	Defective SLC9A9 causes autism 16 (AUTS16)	rs7632299,rs1371924,rs2800
reactome	R-HSA-5661182	Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)	rs4363657,rs4149081
reactome	R-HSA-5619110	Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)	rs4363657,rs4149081
reactome	R-HSA-5619058	Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)	
reactome	R-HSA-5619095	Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)	
reactome	R-HSA-4755579	Defective SRD5A3 causes SRD5A3-CDG (CDG-1q) and KHRZ	
reactome	R-HSA-3656243	Defective ST3GAL3 causes MCT12 and EIEE15	
reactome	R-HSA-5579032	Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)	
reactome	R-HSA-3359454	Defective TCN2 causes hereditary megaloblastic anemia	
reactome	R-HSA-5578995	Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency)	
reactome	R-HSA-5619107	Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	rs12199222,rs3757840,rs4607517,rs1260326,rs780092,rs780094,rs730497,rs4294134
reactome	R-HSA-5579002	Defective UGT1A1 causes hyperbilirubinemia	rs887829,rs6742078
reactome	R-HSA-5579016	Defective UGT1A4 causes hyperbilirubinemia	
reactome	R-HSA-5688031	Defective pro-SFTPB causes pulmonary surfactant metabolism dysfunction 1 (SMDP1) and respiratory distress syndrome (RDS)	
reactome	R-HSA-5688354	Defective pro-SFTPC causes pulmonary surfactant metabolism dysfunction 2 (SMDP2) and respiratory distress syndrome (RDS)	
reactome	R-HSA-3323169	Defects in biotin (Btn) metabolism	rs7122539,rs7651039,rs10513789
reactome	R-HSA-3296469	Defects in cobalamin (B12) metabolism	rs10508517,rs1801239,rs7134594,rs11254363,rs6602175
reactome	R-HSA-3296482	Defects in vitamin and cofactor metabolism	rs7122539,rs10508517,rs1801239,rs7651039,rs10513789,rs7134594,rs11254363,rs6602175
reactome	R-HSA-1461973	Defensins	rs3093023,rs3093024
reactome	R-HSA-4641257	Degradation of AXIN	rs9357155,rs831571
reactome	R-HSA-4641258	Degradation of DVL	rs9357155,rs831571
reactome	R-HSA-916853	Degradation of GABA	
reactome	R-HSA-5610780	Degradation of GLI1 by the proteasome	rs10483853,rs9357155,rs831571
reactome	R-HSA-5610783	Degradation of GLI2 by the proteasome	rs9357155,rs831571
reactome	R-HSA-195253	Degradation of beta-catenin by the destruction complex	rs956237,rs4962416,rs9357155,rs7903146,rs7901695,rs831571,rs11158493
reactome	R-HSA-1614558	Degradation of cysteine and homocysteine	
reactome	R-HSA-1474228	Degradation of the extracellular matrix	rs2158836,rs3781684,rs495366,rs6795735,rs441051,rs374748,rs7319311,rs1555322,rs7044529,rs855791,rs4956211,rs4925386,rs525410,rs10874639,rs9929218,rs27855,rs783147,rs7077164,rs27524,rs3742207,rs4820268,rs1227756,rs4789939
reactome	R-HSA-4419969	Depolymerisation of the Nuclear Lamina	rs3889237,rs10460009
reactome	R-HSA-606279	Deposition of new CENPA-containing nucleosomes at the centromere	rs1490388,rs9388489
reactome	R-HSA-73927	Depurination	rs1395479
reactome	R-HSA-73928	Depyrimidination	rs1395479
reactome	R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	rs9480865,rs27524,rs2153960,rs4601609
reactome	R-HSA-2022923	Dermatan sulfate biosynthesis	rs2500535,rs1064395,rs310501
reactome	R-HSA-3299685	Detoxification of Reactive Oxygen Species	rs4821544,rs694739
reactome	R-HSA-5688426	Deubiquitination	rs2233287,rs501764,rs1342326,rs1990760,rs4939827,rs40457,rs5031002,rs12143943,rs968451,rs9642880,rs744910,rs2327832,rs2076756,rs16912145,rs6625163,rs2504063,rs7603514,rs17085007,rs543650,rs2413583,rs10036748,rs3768716,rs7136572,rs5919432,rs4815617,rs6902771,rs2811893,rs610604,rs1999805,rs6435862,rs1539019,rs8016947,rs365132,rs2823455,rs9357155,rs2230926,rs5743289,rs9302752,rs831571,rs10133111
