pathway_namespace	pathway_identifier	pathway_name	snps
kegg	path:hsa04140	Autophagy - animal - Homo sapiens (human)	rs180515,rs17036350,rs2306374,rs7111341,rs163030,rs3764640,rs2302189,rs11141915,rs2283792,rs3792109,rs11618202,rs774359,rs7578326,rs12537,rs10760706,rs477895,rs4132509,rs2943641,rs2241880
kegg	path:hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)	rs4689388,rs210138,rs9894429,rs16912145,rs6031882,rs210134,rs2217332
kegg	path:hsa04142	Lysosome - Homo sapiens (human)	rs2289700,rs3800569,rs683395,rs337847,rs1412444,rs1805081,rs530501,rs6917747,rs794185,rs228614,rs7253363,rs2281680,rs17126232,rs2028299
kegg	path:hsa04144	Endocytosis - Homo sapiens (human)	rs744373,rs17030613,rs6673480,rs7905537,rs744910,rs6511720,rs3129055,rs12989701,rs10810865,rs2860580,rs3753242,rs13437082,rs882300,rs4713693,rs2292354,rs12138950,rs2967605,rs2981579,rs1011731,rs2562784,rs9264942,rs1413885,rs706779,rs2523608,rs3807989,rs9468925,rs2114039,rs3110496,rs1755289,rs3118470,rs10484554,rs11668477,rs6917747,rs6122972,rs2104286,rs1109670,rs7090512,rs437943,rs1802295,rs1219648,rs5742915,rs678962,rs7677751,rs2284033,rs7561528,rs2502731,rs7911500,rs2247056,rs4921617,rs1552224,rs12251307,rs2228671,rs11979158,rs2523809
kegg	path:hsa04145	Phagosome - Homo sapiens (human)	rs3129055,rs10484561,rs2860580,rs3129890,rs13437082,rs4765623,rs987870,rs3800569,rs4713693,rs3135363,rs2647044,rs9275698,rs660895,rs3135338,rs4906172,rs2647012,rs9275572,rs9264942,rs2523608,rs3129882,rs9468925,rs9277535,rs2856718,rs7775228,rs10484554,rs9357152,rs9888739,rs3077,rs13192471,rs1801274,rs6903608,rs13236689,rs7765379,rs2437258,rs4664308,rs11150610,rs9271366,rs4821544,rs7774434,rs9500927,rs2247056,rs2858331,rs11057830,rs2523809,rs6457617
kegg	path:hsa04146	Peroxisome - Homo sapiens (human)	rs7630877,rs874628,rs12741973,rs694739,rs7590720,rs7374394,rs4795067
kegg	path:hsa04150	mTOR signaling pathway - Homo sapiens (human)	rs2115386,rs2074404,rs180515,rs16826658,rs17036350,rs891088,rs7111341,rs3736228,rs3764640,rs12540874,rs4944092,rs2283792,rs1800693,rs1012068,rs7578326,rs3889237,rs415430,rs7349332,rs4132509,rs5742692,rs2943641
kegg	path:hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)	rs2115386,rs1350666,rs180515,rs454305,rs291353,rs7077361,rs891088,rs17086609,rs484959,rs7319311,rs3764640,rs2153960,rs12821256,rs1150754,rs860413,rs2283792,rs2121875,rs4298437,rs2943641,rs1004446,rs560887,rs4132509,rs477895,rs10074258,rs2981579,rs6265,rs17369571,rs10758669,rs11611647,rs706779,rs10876993,rs2237349,rs3194051,rs441051,rs445,rs3118470,rs2275215,rs9480865,rs9472138,rs2104286,rs1341239,rs525410,rs10895547,rs2069408,rs979233,rs1864982,rs1321311,rs4129267,rs2284033,rs12621278,rs3914132,rs7911500,rs1402837,rs5742692,rs7665090,rs12251307,rs11979158,rs2158836,rs13188386,rs17036350,rs9642880,rs197770,rs4338740,rs1801275,rs7158782,rs1054627,rs6897932,rs4925386,rs11968166,rs6699417,rs2282978,rs7578326,rs4537545,rs152528,rs7341475,rs17157903,rs3782181,rs185819,rs7111341,rs2114039,rs10243024,rs290986,rs8102137,rs1458038,rs1551943,rs7090512,rs1219648,rs3218097,rs7677751,rs4238010,rs3889237,rs11158493,rs995030,rs1983853,rs2269426,rs3742207,rs12198173
kegg	path:hsa04152	AMPK signaling pathway - Homo sapiens (human)	rs2115386,rs12230440,rs180515,rs17036350,rs2237349,rs891088,rs7111341,rs1648707,rs2755237,rs3764640,rs2153960,rs1892534,rs7795096,rs7805747,rs9480865,rs12753193,rs11868035,rs13236689,rs1800961,rs1864982,rs7578326,rs3846662,rs4812829,rs11158493,rs560887,rs2967605,rs4132509,rs1402837,rs5742692,rs266717,rs2943641
kegg	path:hsa04210	Apoptosis - Homo sapiens (human)	rs210138,rs2306677,rs2289700,rs13278062,rs3761847,rs2234978,rs2283792,rs210134,rs7025486,rs1801516,rs999943,rs1800693,rs3219090,rs2075726,rs8016947,rs477895,rs8192917,rs4132509,rs7665090,rs10999409,rs4601609
kegg	path:hsa04211	Longevity regulating pathway - Homo sapiens (human)	rs2115386,rs12230440,rs180515,rs2237349,rs2877716,rs17036350,rs891088,rs7111341,rs1648707,rs2755237,rs3764640,rs2153960,rs7795096,rs7805747,rs9480865,rs263238,rs7578326,rs2601828,rs4132509,rs5742692,rs266717,rs2943641,rs7665090,rs10491334
kegg	path:hsa04213	Longevity regulating pathway - multiple species - Homo sapiens (human)	rs2115386,rs180515,rs17036350,rs2877716,rs263238,rs891088,rs2755237,rs7111341,rs7578326,rs2153960,rs2601828,rs7795096,rs9480865,rs7805747,rs4132509,rs5742692,rs2943641
kegg	path:hsa04215	Apoptosis - multiple species - Homo sapiens (human)	rs210138,rs210134,rs1800693,rs12479254
kegg	path:hsa04216	Ferroptosis - Homo sapiens (human)	rs13107325,rs3811647,rs6107516,rs1799852,rs1049296,rs6052699,rs1867504
kegg	path:hsa04217	Necroptosis - Homo sapiens (human)	rs1342326,rs2073145,rs744166,rs280519,rs13278062,rs610604,rs2327832,rs1127065,rs1059513,rs2234978,rs7574865,rs11618202,rs2066808,rs1800693,rs1539019,rs3219090,rs167769,rs12720356,rs2230926,rs3827730,rs3821236,rs10758669
kegg	path:hsa04218	Cellular senescence - Homo sapiens (human)	rs11221332,rs17036350,rs6590330,rs2755237,rs2306374,rs9642880,rs4902647,rs2153960,rs744910,rs3129055,rs738722,rs2860580,rs13437082,rs2283792,rs4713693,rs11968166,rs1063192,rs999943,rs2282978,rs2244012,rs4132509,rs9264942,rs11611647,rs815815,rs4902642,rs2523608,rs10876993,rs2306677,rs9468925,rs445,rs2659546,rs1547014,rs10484554,rs4899260,rs9480865,rs8102137,rs1801516,rs2069408,rs1950500,rs3218097,rs1321311,rs4238010,rs2247056,rs7665090,rs2523809
kegg	path:hsa04260	Cardiac muscle contraction - Homo sapiens (human)	rs2070615,rs12883884,rs216013,rs11065611,rs10919071,rs7554607,rs2819742,rs2819770,rs4074536,rs2281845,rs7076247,rs365990,rs7069923
kegg	path:hsa04261	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)	rs1403543,rs2877716,rs82625,rs2070615,rs10919071,rs2819742,rs2819770,rs6118083,rs2237886,rs2283792,rs263238,rs2681472,rs2601828,rs13015447,rs7554607,rs4132509,rs1869901,rs815815,rs6056209,rs2237349,rs727957,rs2237892,rs2782980,rs1127065,rs3922844,rs11065611,rs179429,rs2281845,rs12576239,rs216013,rs365990,rs12053903,rs7069923,rs1864982,rs12883884,rs11158493,rs3889237,rs7076247,rs6807064,rs2681492,rs163182,rs2237878
kegg	path:hsa04270	Vascular smooth muscle contraction - Homo sapiens (human)	rs4979906,rs2306677,rs2877716,rs6056209,rs10495928,rs7922491,rs6842241,rs2285714,rs798544,rs1926203,rs6001027,rs2281845,rs216013,rs6118083,rs2283792,rs2580816,rs999943,rs1182188,rs263238,rs2284063,rs798497,rs738322,rs3889237,rs2601828,rs1869901,rs815815
kegg	path:hsa04310	Wnt signaling pathway - Homo sapiens (human)	rs2074404,rs2395730,rs16826658,rs7903146,rs1504749,rs6056209,rs6885224,rs3736228,rs9642880,rs2659546,rs1127065,rs744910,rs1513670,rs4944092,rs7901695,rs6118083,rs153734,rs2257205,rs11968166,rs956237,rs4962416,rs1950500,rs1733724,rs10958409,rs3218097,rs4238010,rs3889237,rs4601609,rs415430,rs7349332,rs9298506,rs1869901,rs11611647
kegg	path:hsa04330	Notch signaling pathway - Homo sapiens (human)	rs4962416,rs3131296,rs2273061,rs443198,rs404860,rs12423712,rs10483853,rs697739,rs9296015
kegg	path:hsa04340	Hedgehog signaling pathway - Homo sapiens (human)	rs830998,rs1828591,rs2544390,rs11241713,rs4238010,rs13118928,rs735172,rs1812175,rs6854783,rs11611647,rs4724100
kegg	path:hsa04350	TGF-beta signaling pathway - Homo sapiens (human)	rs1859156,rs1063192,rs180515,rs12899618,rs4939827,rs17760296,rs4703129,rs12431733,rs9642880,rs744910,rs12198986,rs7789197,rs10021303,rs227731,rs2283792,rs967417,rs4444235
kegg	path:hsa04360	Axon guidance - Homo sapiens (human)	rs1379659,rs16826658,rs768048,rs9871760,rs11767557,rs10243024,rs2659546,rs7905537,rs11243676,rs1127065,rs4282339,rs3753242,rs7050529,rs6122972,rs2283792,rs7112925,rs10932886,rs882300,rs1859156,rs7702057,rs1950500,rs12808199,rs4404602,rs3889237,rs10494067,rs10021303,rs2032794,rs4236644,rs7504990,rs10074258,rs2084385,rs12643654,rs1746048
kegg	path:hsa04370	VEGF signaling pathway - Homo sapiens (human)	rs3889237,rs477895,rs4132509,rs9472138,rs2283792,rs2659546
kegg	path:hsa04371	Apelin signaling pathway - Homo sapiens (human)	rs180515,rs2306677,rs291353,rs2877716,rs17036350,rs2229116,rs10495928,rs2306374,rs6056209,rs744910,rs7795096,rs7805747,rs1926203,rs2819742,rs2819770,rs6118083,rs2283792,rs999943,rs263238,rs1366594,rs9929218,rs4795067,rs12883884,rs2601828,rs7554607,rs4132509,rs2273061,rs10491334,rs1869901,rs815815
kegg	path:hsa04380	Osteoclast differentiation - Homo sapiens (human)	rs7647307,rs968451,rs280519,rs484959,rs2659546,rs290986,rs4355801,rs6993813,rs7253363,rs2283792,rs6469804,rs1801274,rs9594738,rs9594759,rs2066808,rs1800693,rs8016947,rs12720356,rs2957128,rs4601609,rs4821544,rs4132509,rs2413583,rs7665090,rs10491334,rs3018362
kegg	path:hsa04390	Hippo signaling pathway - Homo sapiens (human)	rs2074404,rs4939827,rs10898392,rs3885683,rs16826658,rs7903146,rs12431733,rs9642880,rs7905537,rs744910,rs2786098,rs4944092,rs3753242,rs7901695,rs6122972,rs7140150,rs10501570,rs1006973,rs967417,rs1859156,rs956237,rs11695685,rs4444235,rs11968166,rs7153703,rs9929218,rs1864982,rs3218097,rs4238010,rs152528,rs12198986,rs415430,rs10021303,rs7349332,rs17148090,rs11611647
kegg	path:hsa04392	Hippo signaling pathway - multiple species - Homo sapiens (human)	rs12639834,rs1395241,rs7153703,rs7140150,rs1006973
kegg	path:hsa04510	Focal adhesion - Homo sapiens (human)	rs2158836,rs7077361,rs17086609,rs7319311,rs197770,rs1150754,rs1054627,rs2283792,rs4925386,rs11968166,rs4298437,rs3743200,rs3780792,rs477895,rs7341475,rs4132509,rs17157903,rs2084385,rs8023445,rs11611647,rs4601609,rs185819,rs3807989,rs2114039,rs441051,rs10243024,rs2275215,rs2268983,rs9472138,rs525410,rs1551943,rs10895547,rs12344583,rs3218097,rs4238010,rs7677751,rs3889237,rs12621278,rs3914132,rs5742692,rs2269426,rs3742207,rs11979158,rs12198173
kegg	path:hsa04512	ECM-receptor interaction - Homo sapiens (human)	rs185819,rs2158836,rs7077361,rs441051,rs1268789,rs7319311,rs197770,rs2275215,rs1150754,rs10961780,rs1054627,rs9594293,rs4925386,rs525410,rs13236689,rs1551943,rs6065,rs4298437,rs1008953,rs12621278,rs3914132,rs7341475,rs2269426,rs3742207,rs17157903,rs12198173
kegg	path:hsa04514	Cell adhesion molecules (CAMs) - Homo sapiens (human)	rs2826891,rs7077361,rs3129055,rs10484561,rs3129890,rs13437082,rs6136,rs13074924,rs4713693,rs9282641,rs1569476,rs9275698,rs1799969,rs6074022,rs17001239,rs9264942,rs5498,rs3129882,rs2523608,rs3177980,rs4468878,rs1335532,rs9277535,rs2856718,rs4925189,rs1474747,rs4819388,rs9888739,rs6547705,rs3077,rs13192471,rs6903608,rs2298574,rs7765379,rs10871290,rs9929218,rs1970546,rs9271366,rs6504218,rs12621278,rs7774434,rs12141391,rs944260,rs2647044,rs9500927,rs2523809,rs6457617,rs2568958,rs7255066,rs197770,rs762421,rs2860580,rs1436109,rs987870,rs3135363,rs4675374,rs660895,rs231735,rs3135338,rs1008953,rs2647012,rs9275572,rs10489849,rs310501,rs3093030,rs12279261,rs9468925,rs7775228,rs10484554,rs11243676,rs10146997,rs9357152,rs12808199,rs1024161,rs8038465,rs11150610,rs10494067,rs763361,rs2247056,rs2858331,rs11088859
kegg	path:hsa04520	Adherens junction - Homo sapiens (human)	rs2115386,rs956237,rs11695685,rs11979158,rs891088,rs7903146,rs9929218,rs10243024,rs7905537,rs744910,rs757978,rs2268983,rs7901695,rs2283792
kegg	path:hsa04530	Tight junction - Homo sapiens (human)	rs10876993,rs10898392,rs3885683,rs10495928,rs11906160,rs3764640,rs7905537,rs7795096,rs7805747,rs2268983,rs735854,rs3753242,rs16886165,rs6122972,rs889312,rs10501570,rs4821469,rs1864982,rs17001239,rs17148090,rs2934442,rs4601609
kegg	path:hsa04540	Gap junction - Homo sapiens (human)	rs12593813,rs6056209,rs11214606,rs2306677,rs2877716,rs82625,rs2114039,rs11154022,rs7922491,rs2782980,rs6118083,rs2283792,rs710841,rs999943,rs3796804,rs10895547,rs263238,rs10831496,rs7677751,rs3889237,rs2601828,rs2241423,rs11979158,rs1869901
kegg	path:hsa04550	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)	rs744166,rs2074404,rs16826658,rs12431733,rs5945326,rs9642880,rs3130501,rs744910,rs6941421,rs4944092,rs2283792,rs4444235,rs1859156,rs1713985,rs10850409,rs1219648,rs11897119,rs7193343,rs7789197,rs2300478,rs415430,rs2981579,rs4132509,rs10021303,rs7349332,rs5742692,rs10758669,rs11067228
kegg	path:hsa04610	Complement and coagulation cascades - Homo sapiens (human)	rs569214,rs6056,rs11574637,rs10033900,rs7586970,rs12034383,rs6677604,rs11150610,rs783147,rs867186,rs710446,rs3818361,rs9888739,rs1329428,rs2731672,rs749005,rs3813948,rs6701713
kegg	path:hsa04611	Platelet activation - Homo sapiens (human)	rs6056,rs6056209,rs2306677,rs2877716,rs441051,rs7922491,rs290986,rs8035957,rs6118083,rs3753242,rs2283792,rs710841,rs1801274,rs999943,rs3796804,rs263238,rs6065,rs2601828,rs4132509,rs786870,rs1869901
kegg	path:hsa04612	Antigen processing and presentation - Homo sapiens (human)	rs2523608,rs3129882,rs9468925,rs9277535,rs2856718,rs7775228,rs10484554,rs3129055,rs10484561,rs4781011,rs2860580,rs9357152,rs3129890,rs13437082,rs6547705,rs987870,rs3077,rs4713693,rs3135363,rs13192471,rs9275698,rs6903608,rs2647044,rs7765379,rs660895,rs3135338,rs2647012,rs9271366,rs9275572,rs7774434,rs2247056,rs2858331,rs9500927,rs9264942,rs2523809,rs6457617
kegg	path:hsa04614	Renin-angiotensin system - Homo sapiens (human)	rs4329,rs1403543,rs4343
kegg	path:hsa04620	Toll-like receptor signaling pathway - Homo sapiens (human)	rs968451,rs10045431,rs10133111,rs8016947,rs6074022,rs2546890,rs3213094,rs4728142,rs4132509,rs17810546,rs4796217,rs6441286,rs2413583,rs7665090,rs2283792,rs4601609,rs485499,rs9282641
kegg	path:hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)	rs4815617,rs6056209,rs2306677,rs40457,rs1772408,rs280519,rs968451,rs610604,rs2327832,rs2076756,rs10781500,rs6118083,rs2283792,rs4333130,rs4315565,rs3792109,rs1801725,rs999943,rs2066808,rs1539019,rs8016947,rs12720356,rs4601609,rs4077515,rs2413583,rs2230926,rs5743289,rs9302752,rs7665090,rs1869901,rs2241880,rs10133111
kegg	path:hsa04622	RIG-I-like receptor signaling pathway - Homo sapiens (human)	rs1990760,rs4815617,rs10045431,rs8016947,rs2546890,rs3213094,rs17810546,rs6441286,rs16886165,rs7665090,rs889312,rs485499,rs10133111
kegg	path:hsa04623	Cytosolic DNA-sensing pathway - Homo sapiens (human)	rs2562519,rs2073145,rs4815617,rs4796217,rs1342326,rs7665090,rs8016947,rs7097
kegg	path:hsa04625	C-type lectin receptor signaling pathway - Homo sapiens (human)	rs3817198,rs2306677,rs2070729,rs2306374,rs2659546,rs2546890,rs290986,rs10781500,rs7238078,rs17810546,rs2283792,rs485499,rs999943,rs2066808,rs1950500,rs1539019,rs224278,rs10045431,rs8016947,rs4077515,rs3024505,rs3213094,rs4132509,rs6441286,rs7665090,rs4601609,rs815815
kegg	path:hsa04630	JAK-STAT signaling pathway - Homo sapiens (human)	rs10889677,rs1126757,rs13188386,rs17036350,rs17083844,rs280519,rs9642880,rs4143832,rs17810546,rs1801275,rs11209026,rs860413,rs1059513,rs6897932,rs12753193,rs485499,rs7574865,rs2201841,rs11968166,rs2066808,rs10045431,rs3806932,rs3790567,rs4537545,rs12720356,rs3024505,rs3213094,rs4132509,rs11465804,rs3821236,rs706779,rs11611647,rs10758669,rs7517847,rs744166,rs3194051,rs2114039,rs2546890,rs3118470,rs1892534,rs11107116,rs1295686,rs2104286,rs1341239,rs7090512,rs979233,rs167769,rs17066096,rs2075726,rs1893217,rs3218097,rs1321311,rs4238010,rs4129267,rs7677751,rs1837253,rs20541,rs2284033,rs7911500,rs6441286,rs12251307,rs11979158
kegg	path:hsa04640	Hematopoietic cell lineage - Homo sapiens (human)	rs1126757,rs484959,rs4143832,rs10484561,rs12821256,rs1801275,rs3129890,rs860413,rs987870,rs6897932,rs2310173,rs3135363,rs2647044,rs9275698,rs12034383,rs6065,rs660895,rs3135338,rs2647012,rs4537545,rs9275572,rs706779,rs3782181,rs3129882,rs3194051,rs9277535,rs2856718,rs3118470,rs7775228,rs3818361,rs9357152,rs9888739,rs6547705,rs2104286,rs3077,rs6701713,rs13192471,rs3865444,rs6903608,rs7090512,rs1551943,rs13236689,rs7765379,rs3826656,rs11150610,rs9271366,rs4129267,rs9500927,rs7774434,rs7911500,rs12621278,rs2858331,rs12251307,rs995030,rs6457617
kegg	path:hsa04650	Natural killer cell mediated cytotoxicity - Homo sapiens (human)	rs5498,rs1853665,rs864537,rs3093030,rs2857595,rs3132468,rs2056626,rs2248462,rs2855812,rs13278062,rs9468925,rs2659546,rs10484554,rs290986,rs2596542,rs2860580,rs13437082,rs2234978,rs2283792,rs9471576,rs4713693,rs1799969,rs12344583,rs10999409,rs3889237,rs3780792,rs2523608,rs2247056,rs8192917,rs9264942,rs2523809,rs8023445
kegg	path:hsa04657	IL-17 signaling pathway - Homo sapiens (human)	rs495366,rs8016947,rs610604,rs10137082,rs2327832,rs2823455,rs20541,rs4143832,rs2230926,rs1295686,rs7665090,rs2283792,rs4601609,rs10133111
kegg	path:hsa04658	Th1 and Th2 cell differentiation - Homo sapiens (human)	rs501764,rs280519,rs1424233,rs4143832,rs10484561,rs17810546,rs1801275,rs3129890,rs1059513,rs987870,rs7574865,rs2283792,rs485499,rs3135363,rs2647044,rs9275698,rs660895,rs10045431,rs3135338,rs2647012,rs3790567,rs10903122,rs12720356,rs3213094,rs9275572,rs3821236,rs706779,rs10758669,rs2273061,rs4601609,rs3129882,rs864537,rs2056626,rs9277535,rs2659546,rs3118470,rs2856718,rs12251307,rs7775228,rs2546890,rs9357152,rs1295686,rs2104286,rs3077,rs13192471,rs7090512,rs6903608,rs7498403,rs7765379,rs167769,rs8016947,rs9271366,rs2284033,rs9500927,rs20541,rs7911500,rs2858331,rs7774434,rs6441286,rs7665090,rs6457617
kegg	path:hsa04659	Th17 cell differentiation - Homo sapiens (human)	rs10889677,rs501764,rs17036350,rs280519,rs744910,rs10484561,rs1801275,rs11209026,rs339969,rs3129890,rs1059513,rs987870,rs2283792,rs2201841,rs3135363,rs7665090,rs9275698,rs2647044,rs3743266,rs660895,rs3135338,rs2647012,rs4537545,rs12720356,rs9275572,rs11071559,rs11465804,rs285480,rs3784609,rs9290936,rs706779,rs10758669,rs7517847,rs4601609,rs3129882,rs864537,rs744166,rs2056626,rs9277535,rs872071,rs2659546,rs3118470,rs2856718,rs12251307,rs809736,rs7775228,rs9357152,rs10800098,rs2104286,rs1033180,rs3077,rs13192471,rs7090512,rs6903608,rs7765379,rs167769,rs7626795,rs8016947,rs9271366,rs12203592,rs2284033,rs4129267,rs7911500,rs7774434,rs2858331,rs340029,rs9500927,rs6457617
kegg	path:hsa04660	T cell receptor signaling pathway - Homo sapiens (human)	rs864537,rs10876993,rs2056626,rs2659546,rs4143832,rs7238078,rs8035957,rs6547705,rs2283792,rs4675374,rs12344583,rs231735,rs1024161,rs8016947,rs3780792,rs3024505,rs4132509,rs7665090,rs2084385,rs4601609
kegg	path:hsa04662	B cell receptor signaling pathway - Homo sapiens (human)	rs12344583,rs8016947,rs2659546,rs3780792,rs290986,rs7238078,rs4132509,rs7665090,rs2283792,rs4601609
kegg	path:hsa04664	Fc epsilon RI signaling pathway - Homo sapiens (human)	rs2251746,rs12344583,rs3889237,rs3780792,rs290986,rs20541,rs4132509,rs4143832,rs1295686,rs2283792
kegg	path:hsa04666	Fc gamma R-mediated phagocytosis - Homo sapiens (human)	rs2283792,rs1801274,rs744373,rs180515,rs2284063,rs12344583,rs10495928,rs738322,rs169082,rs3889237,rs3780792,rs290986,rs7561528,rs12989701,rs4132509,rs6001027,rs1109670
kegg	path:hsa04668	TNF signaling pathway - Homo sapiens (human)	rs5498,rs495366,rs3093030,rs2070729,rs968451,rs2237349,rs10133111,rs484959,rs610604,rs2327832,rs2076756,rs3761847,rs2234978,rs7025486,rs2283792,rs1799969,rs1800693,rs8016947,rs4132509,rs2230926,rs2413583,rs5743289,rs9302752,rs7665090,rs3771166,rs4601609,rs538147,rs2273061
kegg	path:hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)	rs5498,rs11695685,rs3093030,rs1799969,rs12344583,rs11150610,rs6504218,rs17001239,rs3780792,rs4821544,rs2268983,rs3889237,rs9888739,rs882300,rs1746048
kegg	path:hsa04672	Intestinal immune network for IgA production - Homo sapiens (human)	rs3129882,rs3803800,rs9277535,rs2856718,rs7775228,rs762421,rs4143832,rs10484561,rs4819388,rs9357152,rs3129890,rs987870,rs882300,rs3077,rs9282641,rs3135363,rs13192471,rs9275698,rs6903608,rs2647044,rs4675374,rs7765379,rs660895,rs4273077,rs3135338,rs2647012,rs6074022,rs9271366,rs3024505,rs9275572,rs7774434,rs2858331,rs9500927,rs6457617,rs1746048
kegg	path:hsa04710	Circadian rhythm - Homo sapiens (human)	rs6442925,rs3743266,rs7795096,rs7805747,rs809736,rs11071559,rs340029,rs339969,rs3784609
kegg	path:hsa04713	Circadian entrainment - Homo sapiens (human)	rs12658202,rs6056209,rs291353,rs2877716,rs2166706,rs1447352,rs2229116,rs7922491,rs1127065,rs2819742,rs2819770,rs4764043,rs4657178,rs1387153,rs216013,rs2283792,rs6118083,rs2160519,rs710841,rs999943,rs3796804,rs263238,rs2880058,rs4764039,rs3889237,rs2601828,rs1415259,rs7554607,rs12029454,rs12143842,rs1869901,rs815815
kegg	path:hsa04714	Thermogenesis - Homo sapiens (human)	rs10748128,rs3796804,rs180515,rs17036350,rs2877716,rs263238,rs2237349,rs2651899,rs7922491,rs2601828,rs7795096,rs7805747,rs710841
kegg	path:hsa04720	Long-term potentiation - Homo sapiens (human)	rs12658202,rs999943,rs6056209,rs2306677,rs4764039,rs263238,rs10491334,rs10831496,rs2659546,rs1127065,rs3889237,rs4764043,rs216013,rs6118083,rs2283792,rs1869901,rs2160519,rs815815
kegg	path:hsa04721	Synaptic vesicle cycle - Homo sapiens (human)	rs10518765,rs9990174,rs678962,rs12608932,rs1897031,rs183211,rs6695567,rs10121009,rs2502731,rs1011731,rs10455248,rs10774021,rs199533,rs3800569
kegg	path:hsa04722	Neurotrophin signaling pathway - Homo sapiens (human)	rs12593813,rs40457,rs3184504,rs9806762,rs2153960,rs1127065,rs7587928,rs9480865,rs3805236,rs16886165,rs889312,rs2283792,rs10748128,rs7578326,rs8016947,rs4601609,rs7209435,rs477895,rs4132509,rs6265,rs2943641,rs7665090,rs2241423,rs10491334,rs8023445,rs815815
kegg	path:hsa04723	Retrograde endocannabinoid signaling - Homo sapiens (human)	rs2283792,rs12658202,rs999943,rs6056209,rs291353,rs2306677,rs2877716,rs263238,rs12201676,rs10831496,rs3889237,rs2601828,rs10455248,rs2281845,rs216013,rs6118083,rs8043440,rs1869901
kegg	path:hsa04724	Glutamatergic synapse - Homo sapiens (human)	rs363512,rs12658202,rs11971186,rs6056209,rs2306677,rs291353,rs2877716,rs2659546,rs12207601,rs7713917,rs17691394,rs6695567,rs17864092,rs4764043,rs216013,rs6118083,rs2283792,rs8099939,rs2160519,rs999943,rs263238,rs4764039,rs10831496,rs3889237,rs2601828,rs9870680,rs12797755,rs1869901
kegg	path:hsa04725	Cholinergic synapse - Homo sapiens (human)	rs6056209,rs2306677,rs291353,rs2237349,rs2877716,rs2237892,rs1127065,rs179429,rs2281845,rs12576239,rs216013,rs6118083,rs2237886,rs2283792,rs1051730,rs8042374,rs999943,rs263238,rs8079702,rs12914385,rs4640244,rs3889237,rs2601828,rs950776,rs4132509,rs10758669,rs10491334,rs1869901,rs163182,rs2237878
kegg	path:hsa04726	Serotonergic synapse - Homo sapiens (human)	rs4086116,rs6056209,rs291353,rs2306677,rs2877716,rs3995090,rs12772169,rs2185570,rs2281845,rs216013,rs6118083,rs2283792,rs8043440,rs999943,rs1057910,rs3027409,rs3889237,rs12767583,rs10509680,rs1869901
kegg	path:hsa04727	GABAergic synapse - Homo sapiens (human)	rs7595412,rs263238,rs291353,rs2877716,rs9990174,rs12201676,rs183211,rs216013,rs3889237,rs29232,rs2601828,rs13398206,rs2281845,rs10774021,rs199533,rs8043440
kegg	path:hsa04728	Dopaminergic synapse - Homo sapiens (human)	rs12658202,rs6056209,rs11214606,rs2306677,rs291353,rs2877716,rs2237349,rs2659546,rs1127065,rs4764043,rs216013,rs6118083,rs2160519,rs999943,rs4764039,rs3027409,rs1864982,rs11158493,rs3889237,rs4132509,rs1869901,rs815815
kegg	path:hsa04730	Long-term depression - Homo sapiens (human)	rs12658202,rs999943,rs3796804,rs1182188,rs2306677,rs6056209,rs798497,rs7922491,rs9303521,rs3889237,rs798544,rs5742692,rs6118083,rs2283792,rs1869901,rs393152,rs710841
kegg	path:hsa04740	Olfactory transduction - Homo sapiens (human)	rs6687840,rs12896399,rs3796804,rs710841,rs4481887,rs16868941,rs7922491,rs12883884,rs1127065,rs12418204,rs517811,rs7927370,rs1397048,rs1497546,rs815815
kegg	path:hsa04742	Taste transduction - Homo sapiens (human)	rs29232,rs999943,rs12063142,rs263238,rs216013,rs1869901,rs603424
kegg	path:hsa04744	Phototransduction - Homo sapiens (human)	rs815815
kegg	path:hsa04750	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	rs6056209,rs2306677,rs2877716,rs10495928,rs1127065,rs6001027,rs6118083,rs10166942,rs999943,rs263238,rs2284063,rs4613763,rs7626795,rs738322,rs3889237,rs2601828,rs5742692,rs9290936,rs710446,rs1869901,rs815815
kegg	path:hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)	rs11574637,rs2306374,rs7077361,rs2114039,rs7111341,rs3110496,rs197770,rs735854,rs4338740,rs798544,rs2268983,rs9888739,rs2283792,rs2121875,rs11979158,rs882300,rs1458038,rs1551943,rs4821469,rs1182188,rs10895547,rs12344583,rs1219648,rs798497,rs11150610,rs7677751,rs152528,rs3780792,rs12621278,rs2981579,rs9805786,rs17369571,rs2084385,rs710446,rs1746048
kegg	path:hsa04910	Insulin signaling pathway - Homo sapiens (human)	rs2115386,rs180515,rs17036350,rs891088,rs7111341,rs2755237,rs7795096,rs7805747,rs2126259,rs3753242,rs7072268,rs11107116,rs2283792,rs11868035,rs4607517,rs7578326,rs3757840,rs560887,rs477895,rs4132509,rs13224682,rs1402837,rs2943641,rs7798500,rs8023445,rs730497,rs815815
